,Smoother_GS,CGS,Smoother_JAC,Smoother,Smoother_GSRB,Smoother_GSRBAC,CGS_IP_CG,Smoother_GSACBE,CGS_IP_AMG,CGS_RED_AMG,Smoother_GSAC,numCore,post,pre,performance
63,0,1,0,1,0,0,0,1,1,0,0,64,4,0,1427.31
64,0,1,0,1,1,0,0,0,1,0,0,64,4,0,240.639
65,0,1,0,1,0,1,0,0,1,0,0,64,4,0,253.101
66,0,1,1,1,0,0,0,0,0,1,0,64,4,0,190.135
67,1,1,0,1,0,0,0,0,0,1,0,64,4,0,185.433
68,0,1,0,1,0,0,0,0,0,1,1,64,4,0,199.975
69,0,1,0,1,0,0,0,1,0,1,0,64,4,0,1438.34
70,0,1,0,1,1,0,0,0,0,1,0,64,4,0,253.903
71,0,1,0,1,0,1,0,0,0,1,0,64,4,0,267.551
72,0,1,1,1,0,0,1,0,0,0,0,64,5,0,200.311
73,1,1,0,1,0,0,1,0,0,0,0,64,5,0,197.214
74,0,1,0,1,0,0,1,0,0,0,1,64,5,0,216.25
75,0,1,0,1,0,0,1,1,0,0,0,64,5,0,1830.23
76,0,1,0,1,1,0,1,0,0,0,0,64,5,0,282.722
77,0,1,0,1,0,1,1,0,0,0,0,64,5,0,301.309
78,0,1,1,1,0,0,0,0,1,0,0,64,5,0,199.403
79,1,1,0,1,0,0,0,0,1,0,0,64,5,0,194.83
80,0,1,0,1,0,0,0,0,1,0,1,64,5,0,213.105
81,0,1,0,1,0,0,0,1,1,0,0,64,5,0,1763.75
82,0,1,0,1,1,0,0,0,1,0,0,64,5,0,282.952
83,0,1,0,1,0,1,0,0,1,0,0,64,5,0,302.857
84,0,1,1,1,0,0,0,0,0,1,0,64,5,0,214.959
85,1,1,0,1,0,0,0,0,0,1,0,64,5,0,208.475
86,0,1,0,1,0,0,0,0,0,1,1,64,5,0,226.739
87,0,1,0,1,0,0,0,1,0,1,0,64,5,0,1774.61
88,0,1,0,1,1,0,0,0,0,1,0,64,5,0,294.439
89,0,1,0,1,0,1,0,0,0,1,0,64,5,0,315.402
90,0,1,1,1,0,0,1,0,0,0,0,64,6,0,223.693
91,1,1,0,1,0,0,1,0,0,0,0,64,6,0,220.704
92,0,1,0,1,0,0,1,0,0,0,1,64,6,0,243.058
93,0,1,0,1,0,0,1,1,0,0,0,64,6,0,2184.08
94,0,1,0,1,1,0,1,0,0,0,0,64,6,0,322.768
95,0,1,0,1,0,1,1,0,0,0,0,64,6,0,345.461
96,0,1,1,1,0,0,0,0,1,0,0,64,6,0,222.712
97,1,1,0,1,0,0,0,0,1,0,0,64,6,0,217.857
98,0,1,0,1,0,0,0,0,1,0,1,64,6,0,239.383
99,0,1,0,1,0,0,0,1,1,0,0,64,6,0,2103.1
100,0,1,0,1,1,0,0,0,1,0,0,64,6,0,318.349
101,0,1,0,1,0,1,0,0,1,0,0,64,6,0,340.01
102,0,1,1,1,0,0,0,0,0,1,0,64,6,0,238.468
103,1,1,0,1,0,0,0,0,0,1,0,64,6,0,231.69
104,0,1,0,1,0,0,0,0,0,1,1,64,6,0,253.355
105,0,1,0,1,0,0,0,1,0,1,0,64,6,0,2114.55
106,0,1,0,1,1,0,0,0,0,1,0,64,6,0,333.623
107,0,1,0,1,0,1,0,0,0,1,0,64,6,0,354.485
108,0,1,1,1,0,0,1,0,0,0,0,64,0,1,100.795
109,1,1,0,1,0,0,1,0,0,0,0,64,0,1,100.892
110,0,1,0,1,0,0,1,0,0,0,1,64,0,1,107.813
111,0,1,0,1,0,0,1,1,0,0,0,64,0,1,436.704
112,0,1,0,1,1,0,1,0,0,0,0,64,0,1,117.788
113,0,1,0,1,0,1,1,0,0,0,0,64,0,1,123.114
114,0,1,1,1,0,0,0,0,1,0,0,64,0,1,100.315
115,1,1,0,1,0,0,0,0,1,0,0,64,0,1,100.444
116,0,1,0,1,0,0,0,0,1,0,1,64,0,1,106.364
117,0,1,0,1,0,0,0,1,1,0,0,64,0,1,421.819
118,0,1,0,1,1,0,0,0,1,0,0,64,0,1,117.683
119,0,1,0,1,0,1,0,0,1,0,0,64,0,1,122.984
120,0,1,1,1,0,0,0,0,0,1,0,64,0,1,111.783
121,1,1,0,1,0,0,0,0,0,1,0,64,0,1,110.421
122,0,1,0,1,0,0,0,0,0,1,1,64,0,1,120.324
123,0,1,0,1,0,0,0,1,0,1,0,64,0,1,436.26
124,0,1,0,1,1,0,0,0,0,1,0,64,0,1,128.278
125,0,1,0,1,0,1,0,0,0,1,0,64,0,1,136.746
126,0,1,1,1,0,0,1,0,0,0,0,64,1,1,127.204
127,1,1,0,1,0,0,1,0,0,0,0,64,1,1,125.993
128,0,1,0,1,0,0,1,0,0,0,1,64,1,1,135.351
129,0,1,0,1,0,0,1,1,0,0,0,64,1,1,784.054
130,0,1,0,1,1,0,1,0,0,0,0,64,1,1,159.495
131,0,1,0,1,0,1,1,0,0,0,0,64,1,1,168.712
132,0,1,1,1,0,0,0,0,1,0,0,64,1,1,128.044
133,1,1,0,1,0,0,0,0,1,0,0,64,1,1,125.467
134,0,1,0,1,0,0,0,0,1,0,1,64,1,1,132.929
135,0,1,0,1,0,0,0,1,1,0,0,64,1,1,755.845
136,0,1,0,1,1,0,0,0,1,0,0,64,1,1,159.659
137,0,1,0,1,0,1,0,0,1,0,0,64,1,1,166.802
138,0,1,1,1,0,0,0,0,0,1,0,64,1,1,143.21
139,1,1,0,1,0,0,0,0,0,1,0,64,1,1,137.698
140,0,1,0,1,0,0,0,0,0,1,1,64,1,1,146.674
141,0,1,0,1,0,0,0,1,0,1,0,64,1,1,771.305
142,0,1,0,1,1,0,0,0,0,1,0,64,1,1,172.493
143,0,1,0,1,0,1,0,0,0,1,0,64,1,1,180.55
144,0,1,1,1,0,0,1,0,0,0,0,64,2,1,152.159
145,1,1,0,1,0,0,1,0,0,0,0,64,2,1,150.043
146,0,1,0,1,0,0,1,0,0,0,1,64,2,1,162.644
147,0,1,0,1,0,0,1,1,0,0,0,64,2,1,1135.52
148,0,1,0,1,1,0,1,0,0,0,0,64,2,1,201.158
149,0,1,0,1,0,1,1,0,0,0,0,64,2,1,213.061
150,0,1,1,1,0,0,0,0,1,0,0,64,2,1,152.18
151,1,1,0,1,0,0,0,0,1,0,0,64,2,1,148.515
152,0,1,0,1,0,0,0,0,1,0,1,64,2,1,159.326
153,0,1,0,1,0,0,0,1,1,0,0,64,2,1,1093.25
154,0,1,0,1,1,0,0,0,1,0,0,64,2,1,199.575
155,0,1,0,1,0,1,0,0,1,0,0,64,2,1,210.483
156,0,1,1,1,0,0,0,0,0,1,0,64,2,1,167.485
157,1,1,0,1,0,0,0,0,0,1,0,64,2,1,162.318
158,0,1,0,1,0,0,0,0,0,1,1,64,2,1,173.514
159,0,1,0,1,0,0,0,1,0,1,0,64,2,1,1104.4
160,0,1,0,1,1,0,0,0,0,1,0,64,2,1,213.048
161,0,1,0,1,0,1,0,0,0,1,0,64,2,1,223.943
162,0,1,1,1,0,0,1,0,0,0,0,64,3,1,176.492
163,1,1,0,1,0,0,1,0,0,0,0,64,3,1,174.024
164,0,1,0,1,0,0,1,0,0,0,1,64,3,1,189.148
165,0,1,0,1,0,0,1,1,0,0,0,64,3,1,1480.08
166,0,1,0,1,1,0,1,0,0,0,0,64,3,1,241.937
167,0,1,0,1,0,1,1,0,0,0,0,64,3,1,258.123
168,0,1,1,1,0,0,0,0,1,0,0,64,3,1,175.902
169,1,1,0,1,0,0,0,0,1,0,0,64,3,1,171.541
170,0,1,0,1,0,0,0,0,1,0,1,64,3,1,185.956
171,0,1,0,1,0,0,0,1,1,0,0,64,3,1,1428.75
172,0,1,0,1,1,0,0,0,1,0,0,64,3,1,239.464
173,0,1,0,1,0,1,0,0,1,0,0,64,3,1,253.256
174,0,1,1,1,0,0,0,0,0,1,0,64,3,1,191.425
175,1,1,0,1,0,0,0,0,0,1,0,64,3,1,185.38
176,0,1,0,1,0,0,0,0,0,1,1,64,3,1,199.601
177,0,1,0,1,0,0,0,1,0,1,0,64,3,1,1443.09
178,0,1,0,1,1,0,0,0,0,1,0,64,3,1,252.813
179,0,1,0,1,0,1,0,0,0,1,0,64,3,1,267.393
180,0,1,1,1,0,0,1,0,0,0,0,64,4,1,202.147
181,1,1,0,1,0,0,1,0,0,0,0,64,4,1,197.181
182,0,1,0,1,0,0,1,0,0,0,1,64,4,1,216.868
183,0,1,0,1,0,0,1,1,0,0,0,64,4,1,1835.71
184,0,1,0,1,1,0,1,0,0,0,0,64,4,1,283.449
185,0,1,0,1,0,1,1,0,0,0,0,64,4,1,302.136
186,0,1,1,1,0,0,0,0,1,0,0,64,4,1,199.83
187,1,1,0,1,0,0,0,0,1,0,0,64,4,1,194.679
188,0,1,0,1,0,0,0,0,1,0,1,64,4,1,212.948
189,0,1,0,1,0,0,0,1,1,0,0,64,4,1,1767.85
190,0,1,0,1,1,0,0,0,1,0,0,64,4,1,279.601
191,0,1,0,1,0,1,0,0,1,0,0,64,4,1,296.932
192,0,1,1,1,0,0,0,0,0,1,0,64,4,1,215.395
193,1,1,0,1,0,0,0,0,0,1,0,64,4,1,208.641
194,0,1,0,1,0,0,0,0,0,1,1,64,4,1,226.557
195,0,1,0,1,0,0,0,1,0,1,0,64,4,1,1784.78
196,0,1,0,1,1,0,0,0,0,1,0,64,4,1,293.862
197,0,1,0,1,0,1,0,0,0,1,0,64,4,1,310.231
198,0,1,1,1,0,0,1,0,0,0,0,64,5,1,225.245
199,1,1,0,1,0,0,1,0,0,0,0,64,5,1,220.744
200,0,1,0,1,0,0,1,0,0,0,1,64,5,1,243.708
201,0,1,0,1,0,0,1,1,0,0,0,64,5,1,2179.25
202,0,1,0,1,1,0,1,0,0,0,0,64,5,1,323.663
203,0,1,0,1,0,1,1,0,0,0,0,64,5,1,346.815
204,0,1,1,1,0,0,0,0,1,0,0,64,5,1,223.301
205,1,1,0,1,0,0,0,0,1,0,0,64,5,1,217.668
206,0,1,0,1,0,0,0,0,1,0,1,64,5,1,239.01
207,0,1,0,1,0,0,0,1,1,0,0,64,5,1,2102.31
208,0,1,0,1,1,0,0,0,1,0,0,64,5,1,318.465
209,0,1,0,1,0,1,0,0,1,0,0,64,5,1,343.871
210,0,1,1,1,0,0,0,0,0,1,0,64,5,1,238.942
211,1,1,0,1,0,0,0,0,0,1,0,64,5,1,231.515
212,0,1,0,1,0,0,0,0,0,1,1,64,5,1,253.607
213,0,1,0,1,0,0,0,1,0,1,0,64,5,1,2119.95
214,0,1,0,1,1,0,0,0,0,1,0,64,5,1,333.928
215,0,1,0,1,0,1,0,0,0,1,0,64,5,1,357.433
216,0,1,1,1,0,0,1,0,0,0,0,64,6,1,249.151
217,1,1,0,1,0,0,1,0,0,0,0,64,6,1,244.392
218,0,1,0,1,0,0,1,0,0,0,1,64,6,1,270.462
219,0,1,0,1,0,0,1,1,0,0,0,64,6,1,2538.94
220,0,1,0,1,1,0,1,0,0,0,0,64,6,1,364.335
221,0,1,0,1,0,1,1,0,0,0,0,64,6,1,390.005
222,0,1,1,1,0,0,0,0,1,0,0,64,6,1,247.86
223,1,1,0,1,0,0,0,0,1,0,0,64,6,1,240.759
224,0,1,0,1,0,0,0,0,1,0,1,64,6,1,266.188
225,0,1,0,1,0,0,0,1,1,0,0,64,6,1,2441.03
226,0,1,0,1,1,0,0,0,1,0,0,64,6,1,359.453
227,0,1,0,1,0,1,0,0,1,0,0,64,6,1,388.281
228,0,1,1,1,0,0,0,0,0,1,0,64,6,1,263.11
229,1,1,0,1,0,0,0,0,0,1,0,64,6,1,254.564
230,0,1,0,1,0,0,0,0,0,1,1,64,6,1,281.797
231,0,1,0,1,0,0,0,1,0,1,0,64,6,1,2457.13
232,0,1,0,1,1,0,0,0,0,1,0,64,6,1,373.557
233,0,1,0,1,0,1,0,0,0,1,0,64,6,1,398.347
234,0,1,1,1,0,0,1,0,0,0,0,64,0,2,126.258
235,1,1,0,1,0,0,1,0,0,0,0,64,0,2,126.822
236,0,1,0,1,0,0,1,0,0,0,1,64,0,2,136.78
237,0,1,0,1,0,0,1,1,0,0,0,64,0,2,790.322
238,0,1,0,1,1,0,1,0,0,0,0,64,0,2,160.125
239,0,1,0,1,0,1,1,0,0,0,0,64,0,2,169.893
240,0,1,1,1,0,0,0,0,1,0,0,64,0,2,125.574
241,1,1,0,1,0,0,0,0,1,0,0,64,0,2,125.984
242,0,1,0,1,0,0,0,0,1,0,1,64,0,2,134.043
243,0,1,0,1,0,0,0,1,1,0,0,64,0,2,761.665
244,0,1,0,1,1,0,0,0,1,0,0,64,0,2,160.375
245,0,1,0,1,0,1,0,0,1,0,0,64,0,2,167.607
246,0,1,1,1,0,0,0,0,0,1,0,64,0,2,137.005
247,1,1,0,1,0,0,0,0,0,1,0,64,0,2,139.437
248,0,1,0,1,0,0,0,0,0,1,1,64,0,2,148.221
249,0,1,0,1,0,0,0,1,0,1,0,64,0,2,776.522
250,0,1,0,1,1,0,0,0,0,1,0,64,0,2,174.416
251,0,1,0,1,0,1,0,0,0,1,0,64,0,2,181.971
252,0,1,1,1,0,0,1,0,0,0,0,64,1,2,152.787
253,1,1,0,1,0,0,1,0,0,0,0,64,1,2,150.166
254,0,1,0,1,0,0,1,0,0,0,1,64,1,2,163.814
255,0,1,0,1,0,0,1,1,0,0,0,64,1,2,1140.75
256,0,1,0,1,1,0,1,0,0,0,0,64,1,2,201.242
257,0,1,0,1,0,1,1,0,0,0,0,64,1,2,213.721
258,0,1,1,1,0,0,0,0,1,0,0,64,1,2,151.74
259,1,1,0,1,0,0,0,0,1,0,0,64,1,2,149.019
260,0,1,0,1,0,0,0,0,1,0,1,64,1,2,160.454
261,0,1,0,1,0,0,0,1,1,0,0,64,1,2,1095.09
262,0,1,0,1,1,0,0,0,1,0,0,64,1,2,200.735
263,0,1,0,1,0,1,0,0,1,0,0,64,1,2,211.523
264,0,1,1,1,0,0,0,0,0,1,0,64,1,2,168.637
265,1,1,0,1,0,0,0,0,0,1,0,64,1,2,163.344
266,0,1,0,1,0,0,0,0,0,1,1,64,1,2,175.101
267,0,1,0,1,0,0,0,1,0,1,0,64,1,2,1111.95
268,0,1,0,1,1,0,0,0,0,1,0,64,1,2,215.029
269,0,1,0,1,0,1,0,0,0,1,0,64,1,2,226.737
270,0,1,1,1,0,0,1,0,0,0,0,64,2,2,176.876
271,1,1,0,1,0,0,1,0,0,0,0,64,2,2,173.847
272,0,1,0,1,0,0,1,0,0,0,1,64,2,2,190.021
273,0,1,0,1,0,0,1,1,0,0,0,64,2,2,1487.98
274,0,1,0,1,1,0,1,0,0,0,0,64,2,2,242.048
275,0,1,0,1,0,1,1,0,0,0,0,64,2,2,259.264
276,0,1,1,1,0,0,0,0,1,0,0,64,2,2,175.973
277,1,1,0,1,0,0,0,0,1,0,0,64,2,2,172.497
278,0,1,0,1,0,0,0,0,1,0,1,64,2,2,187.174
279,0,1,0,1,0,0,0,1,1,0,0,64,2,2,1429.75
280,0,1,0,1,1,0,0,0,1,0,0,64,2,2,240.834
281,0,1,0,1,0,1,0,0,1,0,0,64,2,2,254.912
282,0,1,1,1,0,0,0,0,0,1,0,64,2,2,192.448
283,1,1,0,1,0,0,0,0,0,1,0,64,2,2,186.856
284,0,1,0,1,0,0,0,0,0,1,1,64,2,2,202.181
285,0,1,0,1,0,0,0,1,0,1,0,64,2,2,1449.29
286,0,1,0,1,1,0,0,0,0,1,0,64,2,2,254.868
287,0,1,0,1,0,1,0,0,0,1,0,64,2,2,270.1
288,0,1,1,1,0,0,1,0,0,0,0,64,3,2,201.68
289,1,1,0,1,0,0,1,0,0,0,0,64,3,2,197.433
290,0,1,0,1,0,0,1,0,0,0,1,64,3,2,216.473
291,0,1,0,1,0,0,1,1,0,0,0,64,3,2,1838.74
292,0,1,0,1,1,0,1,0,0,0,0,64,3,2,282.807
293,0,1,0,1,0,1,1,0,0,0,0,64,3,2,302.957
294,0,1,1,1,0,0,0,0,1,0,0,64,3,2,199.991
295,1,1,0,1,0,0,0,0,1,0,0,64,3,2,195.449
296,0,1,0,1,0,0,0,0,1,0,1,64,3,2,213.575
297,0,1,0,1,0,0,0,1,1,0,0,64,3,2,1767.2
298,0,1,0,1,1,0,0,0,1,0,0,64,3,2,280.996
299,0,1,0,1,0,1,0,0,1,0,0,64,3,2,298.207
300,0,1,1,1,0,0,0,0,0,1,0,64,3,2,217.044
301,1,1,0,1,0,0,0,0,0,1,0,64,3,2,210.01
302,0,1,0,1,0,0,0,0,0,1,1,64,3,2,228.533
303,0,1,0,1,0,0,0,1,0,1,0,64,3,2,1787.08
304,0,1,0,1,1,0,0,0,0,1,0,64,3,2,295.952
305,0,1,0,1,0,1,0,0,0,1,0,64,3,2,313.25
306,0,1,1,1,0,0,1,0,0,0,0,64,4,2,226.306
307,1,1,0,1,0,0,1,0,0,0,0,64,4,2,221.306
308,0,1,0,1,0,0,1,0,0,0,1,64,4,2,243.668
309,0,1,0,1,0,0,1,1,0,0,0,64,4,2,2190.42
310,0,1,0,1,1,0,1,0,0,0,0,64,4,2,322.406
311,0,1,0,1,0,1,1,0,0,0,0,64,4,2,346.022
312,0,1,1,1,0,0,0,0,1,0,0,64,4,2,223.402
313,1,1,0,1,0,0,0,0,1,0,0,64,4,2,218.641
314,0,1,0,1,0,0,0,0,1,0,1,64,4,2,240.11
315,0,1,0,1,0,0,0,1,1,0,0,64,4,2,2107.13
316,0,1,0,1,1,0,0,0,1,0,0,64,4,2,321.204
317,0,1,0,1,0,1,0,0,1,0,0,64,4,2,342.111
318,0,1,1,1,0,0,0,0,0,1,0,64,4,2,240.999
319,1,1,0,1,0,0,0,0,0,1,0,64,4,2,233.592
320,0,1,0,1,0,0,0,0,0,1,1,64,4,2,255.654
321,0,1,0,1,0,0,0,1,0,1,0,64,4,2,2122.78
322,0,1,0,1,1,0,0,0,0,1,0,64,4,2,337.134
323,0,1,0,1,0,1,0,0,0,1,0,64,4,2,357.698
324,0,1,1,1,0,0,1,0,0,0,0,64,5,2,249.496
325,1,1,0,1,0,0,1,0,0,0,0,64,5,2,244.42
326,0,1,0,1,0,0,1,0,0,0,1,64,5,2,270.596
327,0,1,0,1,0,0,1,1,0,0,0,64,5,2,2536.14
328,0,1,0,1,1,0,1,0,0,0,0,64,5,2,363.499
329,0,1,0,1,0,1,1,0,0,0,0,64,5,2,390.443
330,0,1,1,1,0,0,0,0,1,0,0,64,5,2,247.78
331,1,1,0,1,0,0,0,0,1,0,0,64,5,2,241.605
332,0,1,0,1,0,0,0,0,1,0,1,64,5,2,267.186
333,0,1,0,1,0,0,0,1,1,0,0,64,5,2,2447.2
334,0,1,0,1,1,0,0,0,1,0,0,64,5,2,360.746
335,0,1,0,1,0,1,0,0,1,0,0,64,5,2,384.945
336,0,1,1,1,0,0,0,0,0,1,0,64,5,2,265.241
337,1,1,0,1,0,0,0,0,0,1,0,64,5,2,256.752
338,0,1,0,1,0,0,0,0,0,1,1,64,5,2,282.324
339,0,1,0,1,0,0,0,1,0,1,0,64,5,2,2464.05
340,0,1,0,1,1,0,0,0,0,1,0,64,5,2,376.234
341,0,1,0,1,0,1,0,0,0,1,0,64,5,2,399.515
342,0,1,1,1,0,0,1,0,0,0,0,64,6,2,273.219
343,1,1,0,1,0,0,1,0,0,0,0,64,6,2,267.283
344,0,1,0,1,0,0,1,0,0,0,1,64,6,2,297.772
345,0,1,0,1,0,0,1,1,0,0,0,64,6,2,2884.46
346,0,1,0,1,1,0,1,0,0,0,0,64,6,2,404.142
347,0,1,0,1,0,1,1,0,0,0,0,64,6,2,436.101
348,0,1,1,1,0,0,0,0,1,0,0,64,6,2,270.991
349,1,1,0,1,0,0,0,0,1,0,0,64,6,2,264.699
350,0,1,0,1,0,0,0,0,1,0,1,64,6,2,293.713
351,0,1,0,1,0,0,0,1,1,0,0,64,6,2,2780.57
352,0,1,0,1,1,0,0,0,1,0,0,64,6,2,407.302
353,0,1,0,1,0,1,0,0,1,0,0,64,6,2,431.754
354,0,1,1,1,0,0,0,0,0,1,0,64,6,2,289.437
355,1,1,0,1,0,0,0,0,0,1,0,64,6,2,279.765
356,0,1,0,1,0,0,0,0,0,1,1,64,6,2,308.913
357,0,1,0,1,0,0,0,1,0,1,0,64,6,2,2801.69
358,0,1,0,1,1,0,0,0,0,1,0,64,6,2,418.073
359,0,1,0,1,0,1,0,0,0,1,0,64,6,2,446.69
360,0,1,1,1,0,0,1,0,0,0,0,64,0,3,152.796
361,1,1,0,1,0,0,1,0,0,0,0,64,0,3,150.976
362,0,1,0,1,0,0,1,0,0,0,1,64,0,3,165.13
363,0,1,0,1,0,0,1,1,0,0,0,64,0,3,1145.8
364,0,1,0,1,1,0,1,0,0,0,0,64,0,3,201.986
365,0,1,0,1,0,1,1,0,0,0,0,64,0,3,214.899
366,0,1,1,1,0,0,0,0,1,0,0,64,0,3,152.67
367,1,1,0,1,0,0,0,0,1,0,0,64,0,3,149.282
368,0,1,0,1,0,0,0,0,1,0,1,64,0,3,160.858
369,0,1,0,1,0,0,0,1,1,0,0,64,0,3,1101.24
370,0,1,0,1,1,0,0,0,1,0,0,64,0,3,200.333
371,0,1,0,1,0,1,0,0,1,0,0,64,0,3,210.684
372,0,1,1,1,0,0,0,0,0,1,0,64,0,3,166.661
373,1,1,0,1,0,0,0,0,0,1,0,64,0,3,163.713
374,0,1,0,1,0,0,0,0,0,1,1,64,0,3,175.453
375,0,1,0,1,0,0,0,1,0,1,0,64,0,3,1118.25
376,0,1,0,1,1,0,0,0,0,1,0,64,0,3,214.449
377,0,1,0,1,0,1,0,0,0,1,0,64,0,3,225.429
378,0,1,1,1,0,0,1,0,0,0,0,64,1,3,177.939
379,1,1,0,1,0,0,1,0,0,0,0,64,1,3,174.832
380,0,1,0,1,0,0,1,0,0,0,1,64,1,3,190.593
381,0,1,0,1,0,0,1,1,0,0,0,64,1,3,1492.14
382,0,1,0,1,1,0,1,0,0,0,0,64,1,3,242.077
383,0,1,0,1,0,1,1,0,0,0,0,64,1,3,259.205
384,0,1,1,1,0,0,0,0,1,0,0,64,1,3,177.144
385,1,1,0,1,0,0,0,0,1,0,0,64,1,3,172.229
386,0,1,0,1,0,0,0,0,1,0,1,64,1,3,187.511
387,0,1,0,1,0,0,0,1,1,0,0,64,1,3,1434.01
388,0,1,0,1,1,0,0,0,1,0,0,64,1,3,240.317
389,0,1,0,1,0,1,0,0,1,0,0,64,1,3,254.862
390,0,1,1,1,0,0,0,0,0,1,0,64,1,3,193.01
391,1,1,0,1,0,0,0,0,0,1,0,64,1,3,186.934
392,0,1,0,1,0,0,0,0,0,1,1,64,1,3,202.524
393,0,1,0,1,0,0,0,1,0,1,0,64,1,3,1454.18
394,0,1,0,1,1,0,0,0,0,1,0,64,1,3,255.245
395,0,1,0,1,0,1,0,0,0,1,0,64,1,3,270.212
396,0,1,1,1,0,0,1,0,0,0,0,64,2,3,202.767
397,1,1,0,1,0,0,1,0,0,0,0,64,2,3,197.777
398,0,1,0,1,0,0,1,0,0,0,1,64,2,3,217.515
399,0,1,0,1,0,0,1,1,0,0,0,64,2,3,1839.8
400,0,1,0,1,1,0,1,0,0,0,0,64,2,3,283.17
401,0,1,0,1,0,1,1,0,0,0,0,64,2,3,304.61
402,0,1,1,1,0,0,0,0,1,0,0,64,2,3,201.045
