,Solver,SeqSOR,CGSolver,BiCGSTABSolver,LoopSolver,SeqGS,GradientSolver,Precon,cells,post,pre,performance
50,1,1,1,0,0,0,0,1,53,3,3,10826.49643
51,1,1,0,1,0,0,0,1,55,0,5,14520.97143
52,1,1,0,1,0,0,0,1,52,2,5,10590.05
53,1,0,1,0,0,1,0,1,50,2,1,8919.204643
54,1,1,0,1,0,0,0,1,55,0,3,17558.58571
55,1,1,0,0,1,0,0,1,51,1,0,14992.37857
56,1,0,0,0,0,1,1,1,55,3,3,10639.21071
57,1,1,1,0,0,0,0,1,50,5,5,7214.219286
58,1,0,1,0,0,1,0,1,52,6,2,7308.233214
59,1,1,0,1,0,0,0,1,51,5,0,10108.16107
60,1,0,0,0,1,1,0,1,52,6,4,7429.706071
61,1,0,0,0,1,1,0,1,54,6,3,10194.51429
62,1,0,1,0,0,1,0,1,50,6,6,6831.62
63,1,0,0,0,0,1,1,1,52,3,3,9742.049286
64,1,0,0,0,0,1,1,1,54,4,3,10614.73214
65,1,0,1,0,0,1,0,1,54,1,0,30644.57143
66,1,1,1,0,0,0,0,1,54,2,4,11187.91786
67,1,1,0,1,0,0,0,1,51,2,1,10018.90821
68,1,0,0,0,0,1,1,1,50,1,1,11102.32143
69,1,1,0,0,0,0,1,1,51,3,5,7626.633214
70,1,0,0,0,1,1,0,1,52,4,6,9796.393214
71,1,1,0,0,0,0,1,1,52,5,3,7818.220357
72,1,1,0,0,0,0,1,1,51,5,2,7605.792143
73,1,0,0,0,1,1,0,1,52,5,4,7286.390357
74,1,0,0,1,0,1,0,1,53,0,5,14824.09643
75,1,0,0,0,0,1,1,1,55,5,0,10566.86071
76,1,1,0,1,0,0,0,1,55,5,0,11634.09286
77,1,0,0,1,0,1,0,1,55,4,1,10625.59286
78,1,1,0,0,1,0,0,1,55,5,0,11631.50357
79,1,0,0,1,0,1,0,1,54,0,4,15478.73929
80,1,0,1,0,0,1,0,1,55,0,2,18612.925
81,1,1,0,0,0,0,1,1,52,3,4,10482.29643
82,1,0,1,0,0,1,0,1,52,6,5,7479.9975
83,1,1,0,0,0,0,1,1,52,6,2,7893.027857
84,1,0,1,0,0,1,0,1,55,3,6,10633.11429
85,1,1,1,0,0,0,0,1,50,1,4,12111.32143
86,1,0,0,1,0,1,0,1,52,2,0,9602.479286
87,1,0,1,0,0,1,0,1,51,2,0,11420.83571
88,1,0,0,0,0,1,1,1,51,1,5,9100.629286
89,1,0,0,0,0,1,1,1,52,1,5,9757.888571
90,1,0,0,1,0,1,0,1,53,4,4,10003.84143
91,1,0,0,0,1,1,0,1,51,4,0,6884.062143
92,1,0,0,0,1,1,0,1,50,0,5,6713.296071
93,1,1,0,0,1,0,0,1,50,0,4,7303.246429
94,1,1,0,0,0,0,1,1,54,1,6,11234.46071
95,1,0,0,1,0,1,0,1,52,6,1,7274.241786
96,1,0,0,0,0,1,1,1,54,3,6,7669.565714
97,1,1,0,0,0,0,1,1,53,6,4,8222.682857
98,1,1,1,0,0,0,0,1,50,4,3,9677.890357
99,1,0,1,0,0,1,0,1,54,2,3,10333.8
100,1,1,0,0,1,0,0,1,51,2,5,7644.741071
101,1,1,1,0,0,0,0,1,53,1,3,13598.42857
102,1,0,1,0,0,1,0,1,53,3,0,10214.85071
103,1,0,1,0,0,1,0,1,54,3,2,10300.5
104,1,1,0,1,0,0,0,1,53,6,5,10829.10714
105,1,0,0,0,0,1,1,1,50,4,5,6669.8675
106,1,1,0,0,0,0,1,1,55,4,0,11601.69286
107,1,1,0,1,0,0,0,1,50,4,0,9826.567143
108,1,1,1,0,0,0,0,1,53,3,4,10966.38571
109,1,0,0,0,1,1,0,1,53,1,0,12337.825
110,1,0,0,0,0,1,1,1,51,0,5,11482.78214
111,1,1,1,0,0,0,0,1,51,1,4,12523.3
112,1,0,0,0,1,1,0,1,52,3,1,7312.147857
113,1,0,0,0,1,1,0,1,55,2,1,10562.51071
114,1,0,1,0,0,1,0,1,50,4,5,8791.951071
115,1,0,0,0,1,1,0,1,51,0,5,9219.008214
116,1,1,0,0,0,0,1,1,54,2,3,11202.44643
117,1,1,0,1,0,0,0,1,54,1,6,11309.20714
118,1,0,1,0,0,1,0,1,54,0,4,15293.22143
119,1,1,0,1,0,0,0,1,52,2,3,10485.41786
120,1,1,0,0,1,0,0,1,50,4,1,7210.241071
121,1,1,1,0,0,0,0,1,54,2,5,11262.85
122,1,1,0,1,0,0,0,1,54,0,2,16810.97143
123,1,0,0,1,0,1,0,1,52,2,3,9541.009286
124,1,0,1,0,0,1,0,1,51,3,0,9131.808929
125,1,1,0,0,0,0,1,1,54,1,0,22407.63214
126,1,0,0,1,0,1,0,1,50,2,6,8846.367143
127,1,0,0,0,1,1,0,1,55,5,5,10549.21429
128,1,0,0,0,0,1,1,1,51,4,0,9123.343214
129,1,1,0,0,0,0,1,1,51,6,4,7625.390357
130,1,0,0,0,1,1,0,1,53,3,4,9841.753929
131,1,1,0,0,0,0,1,1,51,1,5,10032.17893
132,1,0,0,1,0,1,0,1,52,1,0,19297.95357
133,1,0,0,0,1,1,0,1,52,2,0,9646.160357
134,1,0,0,1,0,1,0,1,55,1,6,10685.25357
135,1,0,1,0,0,1,0,1,52,2,4,9888.018571
136,1,0,0,0,1,1,0,1,51,4,6,6893.9875
137,1,0,0,0,1,1,0,1,53,0,4,12314.21071
138,1,0,1,0,0,1,0,1,55,4,5,10611.68929
139,1,1,1,0,0,0,0,1,52,3,3,10519.59643
140,1,1,1,0,0,0,0,1,50,6,3,7206.391429
141,1,1,0,1,0,0,0,1,50,2,6,9650.707857
142,1,1,0,0,0,0,1,1,50,6,3,7261.772143
143,1,0,0,0,0,1,1,1,51,6,0,6950.106071
144,1,1,1,0,0,0,0,1,54,4,5,11211.18571
145,1,0,1,0,0,1,0,1,50,4,0,8752.993214
146,1,1,0,1,0,0,0,1,53,6,0,10882.92857
147,1,1,0,1,0,0,0,1,53,0,6,13489.06786
148,1,1,0,0,1,0,0,1,52,5,0,7943.976786
149,1,0,0,0,1,1,0,1,55,1,5,10708.68214
150,1,1,1,0,0,0,0,1,54,1,6,14082.46071
151,1,1,0,0,0,0,1,1,54,5,2,11269.84286
152,1,1,0,0,1,0,0,1,51,1,6,7668.067143
153,1,1,1,0,0,0,0,1,54,4,0,11294.98214
154,1,1,0,1,0,0,0,1,50,2,3,9661.805
155,1,1,0,0,0,0,1,1,54,3,0,11219.30357
156,1,0,0,1,0,1,0,1,50,1,1,11001.09643
157,1,1,0,0,0,0,1,1,51,1,0,19957.06786
158,1,0,0,0,0,1,1,1,52,6,6,7407.595
159,1,0,0,0,1,1,0,1,53,1,3,10010.39107
160,1,1,1,0,0,0,0,1,51,4,5,10042.55607
161,1,1,0,1,0,0,0,1,52,5,5,10494.31429
162,1,0,0,1,0,1,0,1,54,5,1,10385.99643
163,1,1,0,0,0,0,1,1,54,4,0,11245.51429
164,1,0,1,0,0,1,0,1,54,4,4,10212.68929
165,1,0,0,0,0,1,1,1,50,2,5,8774.999286
166,1,0,0,0,1,1,0,1,52,4,1,7265.192143
167,1,1,0,1,0,0,0,1,53,1,2,10844.34286
168,1,0,0,0,0,1,1,1,52,0,6,9797.4275
169,1,0,0,0,1,1,0,1,52,4,0,7270.348929
170,1,0,0,0,1,1,0,1,52,3,4,9725.628929
171,1,0,1,0,0,1,0,1,53,4,3,10207.74107
172,1,0,0,0,1,1,0,1,50,2,1,4422.172143
173,1,1,0,0,1,0,0,1,55,2,4,11742.775
174,1,1,0,0,0,0,1,1,52,4,0,10478.16071
175,1,1,0,0,0,0,1,1,54,6,3,8476.712143
176,1,0,0,1,0,1,0,1,54,1,5,10406.02857
177,1,0,1,0,0,1,0,1,55,3,0,10613.82857
178,1,0,0,0,1,1,0,1,52,4,5,7234.396071
179,1,1,0,1,0,0,0,1,50,0,5,12077.69286
180,1,1,0,1,0,0,0,1,50,4,1,9633.616071
181,1,1,0,0,1,0,0,1,50,0,2,9782.721071
182,1,1,1,0,0,0,0,1,53,6,2,10785.64286
183,1,0,0,0,0,1,1,1,53,4,6,7564.956429
184,1,1,0,1,0,0,0,1,54,6,1,11243.675
185,1,0,0,0,1,1,0,1,54,5,4,10239.61429
186,1,0,0,0,1,1,0,1,51,0,4,9564.535
187,1,1,0,1,0,0,0,1,51,6,0,9997.685
188,1,1,0,0,1,0,0,1,55,1,2,14508.825
189,1,1,0,1,0,0,0,1,53,2,5,10824.60714
190,1,1,0,0,1,0,0,1,51,1,3,10107.5275
191,1,1,0,0,1,0,0,1,55,5,3,11635.97143
192,1,0,1,0,0,1,0,1,54,4,6,10369.07143
193,1,1,1,0,0,0,0,1,55,3,0,11645.69286
194,1,1,0,0,0,0,1,1,52,1,3,10674.83571
195,1,0,1,0,0,1,0,1,54,1,5,12881.475
196,1,0,1,0,0,1,0,1,50,6,1,6647.824643
197,1,0,1,0,0,1,0,1,54,1,3,12802.13214
198,1,1,1,0,0,0,0,1,55,1,2,14543.02857
199,1,1,0,0,0,0,1,1,53,5,5,8250.779643
200,1,0,0,0,0,1,1,1,52,1,0,19209.41786
201,1,0,0,0,1,1,0,1,55,4,2,10591.30714
202,1,0,1,0,0,1,0,1,55,5,0,10588.75357
203,1,0,1,0,0,1,0,1,51,1,6,9188.268929
204,1,1,0,1,0,0,0,1,53,1,5,10849.94286
205,1,0,0,0,0,1,1,1,51,5,0,9104.08
206,1,0,1,0,0,1,0,1,52,5,5,7328.257857
207,1,0,0,1,0,1,0,1,55,5,2,10725.03571
208,1,1,0,0,0,0,1,1,55,6,0,11638.63571
209,1,0,0,1,0,1,0,1,52,4,2,9765.267143
210,1,0,0,0,1,1,0,1,51,6,3,9166.829286
211,1,0,0,0,0,1,1,1,54,6,2,7771.373571
212,1,1,0,1,0,0,0,1,54,3,6,11298.66071
213,1,1,1,0,0,0,0,1,50,4,5,9639.533929
214,1,0,0,0,0,1,1,1,52,0,2,12435.09286
215,1,0,0,0,1,1,0,1,50,1,2,8892.2525
216,1,0,1,0,0,1,0,1,52,6,6,7203.802143
217,1,0,0,0,0,1,1,1,50,0,1,11118.81786
218,1,1,0,1,0,0,0,1,53,4,3,10837.4
219,1,0,0,0,0,1,1,1,50,6,6,6690.715357
220,1,0,0,1,0,1,0,1,52,1,6,9528.759643
221,1,0,0,0,1,1,0,1,55,1,6,10563.27857
222,1,1,1,0,0,0,0,1,50,5,6,7289.836786
223,1,0,0,1,0,1,0,1,53,3,4,9903.713929
224,1,0,0,0,1,1,0,1,53,2,4,9963.192857
225,1,1,0,0,0,0,1,1,53,0,4,13656.06786
226,1,1,1,0,0,0,0,1,52,3,1,10548.29286
227,1,0,0,0,0,1,1,1,51,0,2,11409.23571
228,1,0,0,0,0,1,1,1,51,6,1,6866.978929
229,1,1,1,0,0,0,0,1,52,1,1,13142.10714
230,1,1,0,1,0,0,0,1,55,5,3,11626.80357
231,1,1,0,0,1,0,0,1,53,0,3,13480.65357
232,1,1,0,1,0,0,0,1,51,3,6,9986.335714
233,1,1,0,0,1,0,0,1,53,0,6,13583.10357
234,1,1,0,1,0,0,0,1,55,1,3,11651.16071
235,1,1,1,0,0,0,0,1,53,6,3,10913.05
236,1,1,0,0,0,0,1,1,53,4,3,8241.100714
237,1,1,0,0,1,0,0,1,50,2,2,7246.228571
238,1,0,0,0,0,1,1,1,51,3,4,6850.206071
239,1,0,1,0,0,1,0,1,50,4,6,9031.662143
240,1,1,0,0,0,0,1,1,54,5,0,11291.71429
241,1,0,1,0,0,1,0,1,50,6,5,6760.679286
242,1,0,0,0,1,1,0,1,51,1,5,7023.923929
243,1,0,0,0,1,1,0,1,54,3,5,10259.325
244,1,0,0,0,0,1,1,1,55,5,3,7943.472857
245,1,0,1,0,0,1,0,1,55,6,0,10604.28214
246,1,0,0,1,0,1,0,1,53,3,3,9933.668214
247,1,1,0,0,1,0,0,1,51,4,1,10155.85036
248,1,0,1,0,0,1,0,1,54,4,5,10387.19286
249,1,0,0,0,0,1,1,1,52,4,2,9934.675
250,1,0,1,0,0,1,0,1,53,2,2,9895.980714
251,1,1,0,1,0,0,0,1,54,4,4,11267.73214
252,1,1,0,0,1,0,0,1,51,6,3,9968.723571
253,1,0,0,0,0,1,1,1,52,2,3,9799.108214
254,1,0,1,0,0,1,0,1,55,2,5,10535.84286
255,1,0,1,0,0,1,0,1,52,6,3,7284.31
256,1,1,0,0,1,0,0,1,53,6,0,10804.92857
257,1,1,1,0,0,0,0,1,53,0,5,16139.24286
258,1,1,0,1,0,0,0,1,53,4,6,10816.32857
259,1,1,0,0,1,0,0,1,52,5,2,10607.56071
260,1,1,0,1,0,0,0,1,55,2,6,11635.62857
261,1,1,0,0,1,0,0,1,53,1,6,10809.75714
262,1,1,0,0,1,0,0,1,54,4,1,11255.06786
263,1,0,0,1,0,1,0,1,50,0,4,11059.23571
264,1,0,0,0,1,1,0,1,55,1,3,13195.41429
265,1,1,1,0,0,0,0,1,55,1,1,14887.46071
266,1,1,0,0,0,0,1,1,50,3,1,9645.074286
267,1,0,0,1,0,1,0,1,50,1,0,13537.71071
268,1,1,0,0,1,0,0,1,50,3,5,9638.307857
269,1,1,0,0,1,0,0,1,52,2,6,10516.39286
270,1,0,0,1,0,1,0,1,53,4,6,9957.4675
271,1,0,0,0,0,1,1,1,53,1,3,10339.8925
272,1,1,0,1,0,0,0,1,52,4,2,10408.40357
273,1,0,1,0,0,1,0,1,51,4,0,9169.559286
274,1,0,0,0,1,1,0,1,53,4,4,9857.061429
275,1,1,0,1,0,0,0,1,51,1,6,9990.495
276,1,0,0,1,0,1,0,1,52,6,4,7264.461786
277,1,1,0,1,0,0,0,1,51,1,3,10055.06071
278,1,1,0,1,0,0,0,1,52,5,6,7813.935714
279,1,1,0,0,1,0,0,1,54,3,3,11320.87143
280,1,1,0,0,1,0,0,1,52,1,2,13067.02143
281,1,1,0,0,0,0,1,1,51,1,2,10059.7175
282,1,1,1,0,0,0,0,1,53,5,1,10805.81429
283,1,1,0,1,0,0,0,1,53,0,1,24285.67857
284,1,0,1,0,0,1,0,1,55,1,4,13243.40714
285,1,0,1,0,0,1,0,1,51,4,2,9158.330714
286,1,1,0,1,0,0,0,1,50,5,6,7258.036429
287,1,1,0,0,1,0,0,1,51,5,0,7539.127857
288,1,1,1,0,0,0,0,1,55,2,0,14550.16071
289,1,1,0,0,0,0,1,1,54,5,4,8441.657143
290,1,0,0,0,0,1,1,1,50,5,6,6773.457857
291,1,1,0,0,0,0,1,1,50,1,1,12123.77143
292,1,1,0,0,0,0,1,1,52,6,5,7851.342857
293,1,0,1,0,0,1,0,1,53,1,1,12579.12143
294,1,0,0,0,0,1,1,1,55,3,2,10595.84286
295,1,1,1,0,0,0,0,1,53,2,3,10881.84643
296,1,1,0,1,0,0,0,1,53,4,5,10809.28214
297,1,1,1,0,0,0,0,1,51,0,6,15188.375
298,1,0,1,0,0,1,0,1,51,5,1,9112.8925
299,1,0,0,0,0,1,1,1,52,1,3,9729.7375
300,1,0,0,0,1,1,0,1,51,6,5,6868.43
301,1,0,0,1,0,1,0,1,50,0,6,11050.18571
302,1,0,0,0,0,1,1,1,51,4,5,6861.115
303,1,0,0,0,1,1,0,1,51,2,0,9248.386786
304,1,0,0,1,0,1,0,1,50,2,1,8793.119286
305,1,1,0,1,0,0,0,1,50,5,5,7237.580714
306,1,1,1,0,0,0,0,1,53,6,0,10842.30357
307,1,0,0,1,0,1,0,1,55,6,2,10679.99643
308,1,0,0,0,0,1,1,1,51,1,3,9118.509286
309,1,0,0,0,1,1,0,1,51,1,1,9078.679643
310,1,1,1,0,0,0,0,1,53,3,5,10840.21071
311,1,0,0,0,0,1,1,1,50,2,1,8840.397143
312,1,1,1,0,0,0,0,1,53,1,0,27226.22857
313,1,0,0,1,0,1,0,1,51,6,2,7029.800714
314,1,0,0,0,0,1,1,1,55,6,6,8003.484643
315,1,0,0,0,1,1,0,1,51,6,0,6890.207857
316,1,0,0,0,0,1,1,1,54,6,5,7675.251429
317,1,0,1,0,0,1,0,1,52,4,0,9623.4025
318,1,0,0,0,0,1,1,1,51,6,6,6961.493214
319,1,1,1,0,0,0,0,1,53,5,5,10863.05357
320,1,0,0,0,1,1,0,1,55,3,0,10584.43214
321,1,1,0,0,1,0,0,1,51,4,4,7551.1625
322,1,0,0,1,0,1,0,1,54,6,4,10358.72857
323,1,1,1,0,0,0,0,1,54,0,6,16868.75
324,1,1,1,0,0,0,0,1,53,6,1,10848.5
325,1,1,0,0,1,0,0,1,53,4,6,10863.99286
326,1,0,0,1,0,1,0,1,55,1,3,10632.48929
327,1,0,0,1,0,1,0,1,52,6,2,7140.008214
328,1,0,0,0,0,1,1,1,53,6,5,7538.664286
329,1,0,0,0,1,1,0,1,53,6,5,9875.156071
330,1,0,0,0,0,1,1,1,51,1,1,11514.78571
331,1,0,0,1,0,1,0,1,52,4,0,9626.654286
332,1,0,0,0,1,1,0,1,53,5,6,9863.005357
333,1,0,1,0,0,1,0,1,53,1,4,12724.93571
334,1,0,0,0,0,1,1,1,54,0,3,12887.3
335,1,1,1,0,0,0,0,1,50,1,1,12174.13214
336,1,1,0,1,0,0,0,1,53,5,1,10802.00357
337,1,0,0,1,0,1,0,1,51,3,4,9269.616429
338,1,0,1,0,0,1,0,1,50,1,1,10996.84286
339,1,0,0,0,0,1,1,1,51,3,6,6819.452143
340,1,0,0,0,0,1,1,1,55,1,5,10623.80714
341,1,1,0,0,0,0,1,1,54,5,6,8478.072857
342,1,0,1,0,0,1,0,1,53,2,6,10082.10464
343,1,1,0,0,1,0,0,1,53,1,3,13501.47857
344,1,0,0,1,0,1,0,1,50,3,3,8996.183571
345,1,1,0,0,1,0,0,1,51,5,6,10097.345
346,1,1,1,0,0,0,0,1,51,2,5,9969.915357
347,1,1,0,0,0,0,1,1,51,6,1,7519.952143
348,1,0,0,0,1,1,0,1,50,6,1,6656.536429
349,1,0,1,0,0,1,0,1,52,1,3,11967.70714
350,1,1,0,0,0,0,1,1,54,2,4,11281.06786
351,1,1,0,1,0,0,0,1,55,4,2,11804.78214
352,1,1,0,0,1,0,0,1,50,3,2,7452.555
353,1,0,1,0,0,1,0,1,50,5,6,6575.885714
354,1,1,1,0,0,0,0,1,53,4,4,10878.08214
355,1,0,1,0,0,1,0,1,55,4,1,10579.52857
356,1,1,0,0,1,0,0,1,52,3,0,8712.978929
357,1,1,0,0,0,0,1,1,55,6,2,8836.487857
358,1,1,1,0,0,0,0,1,52,6,1,7833.243214
359,1,1,1,0,0,0,0,1,54,3,3,11444.55
360,1,0,0,0,1,1,0,1,55,4,3,10546.84643
361,1,1,0,1,0,0,0,1,53,6,6,10798.11071
362,1,0,0,1,0,1,0,1,53,3,5,9961.51
363,1,0,0,0,1,1,0,1,54,4,6,10259.8
364,1,0,0,1,0,1,0,1,53,6,4,9940.320357
365,1,0,0,1,0,1,0,1,53,5,6,9932.900714
366,1,1,0,0,0,0,1,1,54,5,3,8412.302857
367,1,1,0,0,1,0,0,1,55,4,4,11607.05357
368,1,1,0,0,0,0,1,1,55,5,0,11601.75714
369,1,1,0,0,0,0,1,1,53,1,4,10776.57857
370,1,1,1,0,0,0,0,1,55,2,4,11612.6
371,1,1,1,0,0,0,0,1,54,1,4,14046.17857
372,1,1,0,0,0,0,1,1,51,4,2,10070.67857
373,1,0,1,0,0,1,0,1,50,3,4,8934.921071
374,1,1,0,0,0,0,1,1,52,3,6,7852.420714
375,1,0,0,1,0,1,0,1,50,0,3,11076.65357
376,1,0,1,0,0,1,0,1,50,2,3,8782.966071
377,1,0,0,0,1,1,0,1,55,3,4,10568.86071
378,1,1,0,0,1,0,0,1,52,5,1,7931.466429
379,1,1,0,1,0,0,0,1,52,6,5,7824.954643
380,1,0,0,1,0,1,0,1,54,6,6,7800.356429
381,1,0,1,0,0,1,0,1,53,3,4,10018.72071
382,1,0,0,0,1,1,0,1,55,2,5,10644.10714
383,1,0,0,0,1,1,0,1,55,1,4,13235.12143
384,1,0,0,1,0,1,0,1,54,3,0,10420.02857
385,1,1,0,1,0,0,0,1,53,3,4,10787.53929
386,1,0,0,0,1,1,0,1,54,4,4,10204.11429
387,1,0,0,0,0,1,1,1,55,6,5,7918.338214
388,1,0,0,0,0,1,1,1,54,0,4,12952.23929
389,1,0,0,1,0,1,0,1,55,2,0,10636.58571
390,1,0,1,0,0,1,0,1,50,3,2,8908.751786
391,1,1,1,0,0,0,0,1,52,6,6,7873.813929
392,1,0,0,1,0,1,0,1,50,3,6,8820.959286
393,1,0,1,0,0,1,0,1,54,0,1,48364.63571
394,1,1,0,0,0,0,1,1,52,6,0,7825.001429
395,1,0,0,1,0,1,0,1,54,2,3,10434.66786
396,1,0,0,0,0,1,1,1,50,1,6,8905.152857
397,1,1,0,0,0,0,1,1,52,1,6,10448.025
398,1,1,0,0,1,0,0,1,53,4,4,10889.55357
399,1,0,0,1,0,1,0,1,55,2,6,10703.05
400,1,0,0,0,0,1,1,1,54,4,2,10246.86071
401,1,1,0,1,0,0,0,1,51,4,1,10116.57393
402,1,1,0,1,0,0,0,1,52,3,5,10491.475
403,1,1,0,0,1,0,0,1,50,4,0,7325.935
404,1,0,1,0,0,1,0,1,53,1,6,12628.97143
405,1,1,0,1,0,0,0,1,53,6,2,10945.21071
406,1,0,0,0,1,1,0,1,54,4,3,10312.175
407,1,1,0,1,0,0,0,1,53,5,2,10793.62143
408,1,1,0,1,0,0,0,1,52,6,4,7884.848571
409,1,0,1,0,0,1,0,1,53,1,2,12505.85714
410,1,1,0,0,0,0,1,1,54,3,3,11178.75
411,1,0,0,0,1,1,0,1,50,5,3,8855.005714
412,1,0,0,0,0,1,1,1,52,3,5,7495.6925
413,1,1,1,0,0,0,0,1,55,6,6,11671.775
414,1,1,0,0,1,0,0,1,50,1,6,7241.799286
415,1,1,0,0,0,0,1,1,50,3,6,7368.388571
416,1,1,0,1,0,0,0,1,53,5,0,10808.01786
417,1,1,0,0,1,0,0,1,50,2,4,9615.6225
418,1,0,0,1,0,1,0,1,51,0,6,11520.95357
419,1,1,1,0,0,0,0,1,50,6,6,7332.303571
420,1,0,0,0,1,1,0,1,50,1,5,8825.814286
421,1,1,0,0,0,0,1,1,51,3,1,10000.75393
422,1,1,0,0,1,0,0,1,50,5,4,9618.492857
423,1,1,1,0,0,0,0,1,51,3,2,9968.660714
424,1,1,0,1,0,0,0,1,55,0,6,14640.82143
425,1,0,1,0,0,1,0,1,51,1,5,9092.014286
426,1,0,0,1,0,1,0,1,52,4,5,9702.8275
427,1,1,0,0,0,0,1,1,54,3,2,11330.1
428,1,0,1,0,0,1,0,1,51,0,2,15935.77857
429,1,1,0,1,0,0,0,1,55,2,0,14723.12857
430,1,1,0,0,0,0,1,1,54,3,5,11220.52143
431,1,0,1,0,0,1,0,1,51,5,0,9079.328214
432,1,1,1,0,0,0,0,1,55,0,4,17379.44286
433,1,0,1,0,0,1,0,1,55,5,4,10702.64286
434,1,1,0,0,0,0,1,1,52,0,6,13103.49643
435,1,0,0,0,0,1,1,1,51,5,2,6913.948929
436,1,0,0,1,0,1,0,1,50,6,2,6652.707143
437,1,0,1,0,0,1,0,1,53,4,4,10279.78964
438,1,0,1,0,0,1,0,1,54,6,5,10719.77143
439,1,0,0,1,0,1,0,1,53,4,5,9884.145
440,1,0,0,0,1,1,0,1,55,1,0,15933.13214
441,1,1,1,0,0,0,0,1,50,0,4,14411.41786
442,1,1,1,0,0,0,0,1,53,0,4,16231.98214
443,1,1,0,0,0,0,1,1,51,4,1,9972.018571
444,1,1,0,0,0,0,1,1,54,6,1,8441.936429
445,1,1,0,0,1,0,0,1,53,2,0,11090.35714
446,1,1,1,0,0,0,0,1,55,5,3,11588.91429
447,1,1,0,1,0,0,0,1,54,4,2,11201.67143
448,1,0,0,0,0,1,1,1,50,4,0,8784.214286
449,1,0,0,0,1,1,0,1,51,2,6,6875.359286
450,1,0,0,0,1,1,0,1,53,3,6,9951.681786
451,1,1,0,1,0,0,0,1,53,1,6,10850.48214
452,1,0,0,0,0,1,1,1,54,6,4,7785.062143
453,1,0,1,0,0,1,0,1,50,2,4,8980.808571
454,1,0,0,0,0,1,1,1,53,1,5,10247.90214
455,1,1,0,1,0,0,0,1,50,4,5,7397.181786
456,1,0,0,1,0,1,0,1,53,6,6,7439.380714
457,1,1,1,0,0,0,0,1,51,4,2,10008.47536
458,1,1,1,0,0,0,0,1,54,0,1,44749.76786
459,1,0,0,0,0,1,1,1,53,0,1,12554.98929
460,1,0,0,0,0,1,1,1,53,1,1,12471.20357
461,1,0,0,0,1,1,0,1,54,0,4,12760.17143
462,1,0,0,0,0,1,1,1,51,2,4,9158.7875
