,$HAVE_CRYPTO,$HAVE_HASH,$HAVE_REPLICATIO0,$HAVE_VERIF1,$HAVE_SEQUENCE,$HAVE_STATISTICS,$DIAGNOSTIC,$PAGESIZE,$PS1K,$PS4K,$PS8K,$PS16K,$PS32K,$CACHESIZE,$CS32MB,$CS16MB,$CS64MB,$CS512MB,$<Performance
50,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0.734729462
51,1,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,10.89260928
52,0,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0.501298128
53,0,1,0,1,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0.741280897
54,1,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0,0,1,10.74257477
55,1,1,0,1,0,1,0,1,0,0,1,0,0,1,0,0,0,1,10.91743365
56,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0.503099026
57,0,0,0,1,1,1,0,1,1,0,0,0,0,1,1,0,0,0,0.526405769
58,1,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,10.72920044
59,0,0,1,1,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0.497255897
60,1,0,1,1,0,1,0,1,0,0,1,0,0,1,0,0,0,1,10.72417242
61,0,1,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0.747503103
62,0,1,1,1,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0.747416211
63,1,1,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,10.92490839
64,1,1,1,1,0,1,0,1,0,0,1,0,0,1,0,0,0,1,10.90993634
65,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0.508516763
66,1,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,1,10.74750492
67,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0.772647
68,0,0,0,1,1,1,1,1,1,0,0,0,0,1,1,0,0,0,0.577441077
69,1,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,1,10.943653
70,0,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0.510209459
71,0,1,1,0,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0.771137872
72,1,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,0,1,10.74499761
73,1,1,1,0,0,0,1,1,0,0,1,0,0,1,0,0,0,1,10.92760941
74,0,0,0,0,0,1,1,1,0,0,1,0,0,1,0,0,0,1,0.512415421
75,1,0,0,0,0,1,1,1,0,0,1,0,0,1,0,0,0,1,10.70295613
76,0,0,1,0,0,1,1,1,0,0,1,0,0,1,0,0,0,1,0.517968474
77,1,0,1,0,0,1,1,1,0,0,1,0,0,1,0,0,0,1,10.70997069
78,0,1,0,0,0,1,1,1,0,0,1,0,0,1,0,0,0,1,0.750785795
79,0,1,0,1,1,1,0,1,1,0,0,0,0,1,1,0,0,0,0.376276605
80,0,1,1,0,0,1,1,1,0,0,1,0,0,1,0,0,0,1,0.76255841
81,1,1,0,0,0,1,1,1,0,0,1,0,0,1,0,0,0,1,10.90099747
82,1,1,1,0,0,1,1,1,0,0,1,0,0,1,0,0,0,1,10.91584941
83,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0.520309923
84,1,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,0,1,10.73978641
85,0,1,0,1,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0.771518436
86,1,1,0,1,0,0,1,1,0,0,1,0,0,1,0,0,0,1,10.93962545
87,0,0,0,1,0,1,1,1,0,0,1,0,0,1,0,0,0,1,0.520164128
88,0,1,0,1,0,1,1,1,0,0,1,0,0,1,0,0,0,1,0.756900763
89,1,0,0,1,0,1,1,1,0,0,1,0,0,1,0,0,0,1,10.70720546
90,0,1,0,1,1,1,1,1,1,0,0,0,0,1,1,0,0,0,0.389726868
91,1,1,0,1,0,1,1,1,0,0,1,0,0,1,0,0,0,1,10.91923203
92,0,0,1,1,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0.525368514
93,1,0,1,1,0,0,1,1,0,0,1,0,0,1,0,0,0,1,10.73624426
94,0,0,1,1,0,1,1,1,0,0,1,0,0,1,0,0,0,1,0.523887282
95,1,0,1,1,0,1,1,1,0,0,1,0,0,1,0,0,0,1,10.75169618
96,0,1,1,1,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0.772978359
97,0,1,1,1,0,1,1,1,0,0,1,0,0,1,0,0,0,1,0.749788868
98,1,1,1,1,0,0,1,1,0,0,1,0,0,1,0,0,0,1,10.92837103
99,1,1,1,1,0,1,1,1,0,0,1,0,0,1,0,0,0,1,10.89037103
100,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0.483833179
101,1,0,0,1,1,1,0,1,1,0,0,0,0,1,1,0,0,0,3.237451462
102,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,10.73149939
103,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0.750755282
104,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,10.92207521
105,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0.496748103
106,0,1,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0.752121974
107,1,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,10.73348167
108,1,1,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,10.90934866
109,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0.502955744
110,1,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,1,10.73193179
111,0,0,1,1,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0.497178359
112,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0.366015632
113,1,1,0,1,1,1,0,1,1,0,0,0,0,1,1,0,0,0,2.023702684
114,1,0,1,1,1,0,0,1,0,0,1,0,0,1,0,0,0,1,10.73315821
115,0,1,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0.764017333
116,0,1,1,1,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0.748330868
117,1,1,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,1,10.90138211
118,1,1,1,1,1,0,0,1,0,0,1,0,0,1,0,0,0,1,10.91780143
119,0,0,0,0,1,0,1,1,0,0,1,0,0,1,0,0,0,1,0.508836513
120,1,0,0,0,1,0,1,1,0,0,1,0,0,1,0,0,0,1,10.72231651
121,0,1,0,0,1,0,1,1,0,0,1,0,0,1,0,0,0,1,0.779261737
122,1,1,0,0,1,0,1,1,0,0,1,0,0,1,0,0,0,1,10.92486097
123,0,0,0,1,1,0,1,1,0,0,1,0,0,1,0,0,0,1,0.515042821
124,1,0,0,1,1,1,1,1,1,0,0,0,0,1,1,0,0,0,3.283354436
125,0,1,0,1,1,0,1,1,0,0,1,0,0,1,0,0,0,1,0.773130256
126,1,0,0,1,1,0,1,1,0,0,1,0,0,1,0,0,0,1,10.71312346
127,1,1,0,1,1,0,1,1,0,0,1,0,0,1,0,0,0,1,10.93485472
128,0,0,1,0,1,0,1,1,0,0,1,0,0,1,0,0,0,1,0.512857421
129,1,0,1,0,1,0,1,1,0,0,1,0,0,1,0,0,0,1,10.73352554
130,0,0,1,1,1,0,1,1,0,0,1,0,0,1,0,0,0,1,0.518937526
131,1,0,1,1,1,0,1,1,0,0,1,0,0,1,0,0,0,1,10.7103387
132,0,1,1,0,1,0,1,1,0,0,1,0,0,1,0,0,0,1,0.782204051
133,0,1,1,1,1,0,1,1,0,0,1,0,0,1,0,0,0,1,0.776812256
134,1,1,1,0,1,0,1,1,0,0,1,0,0,1,0,0,0,1,10.93809179
135,1,1,0,1,1,1,1,1,1,0,0,0,0,1,1,0,0,0,2.086284487
136,1,1,1,1,1,0,1,1,0,0,1,0,0,1,0,0,0,1,10.9039715
137,0,0,0,0,1,1,0,1,0,0,1,0,0,1,0,0,0,1,0.498174769
138,1,0,0,0,1,1,0,1,0,0,1,0,0,1,0,0,0,1,10.73721177
139,0,1,0,0,1,1,0,1,0,0,1,0,0,1,0,0,0,1,0.741715184
140,1,1,0,0,1,1,0,1,0,0,1,0,0,1,0,0,0,1,10.89870561
141,0,0,1,0,1,1,0,1,0,0,1,0,0,1,0,0,0,1,0.500193658
142,0,1,1,0,1,1,0,1,0,0,1,0,0,1,0,0,0,1,0.751243436
143,1,0,1,0,1,1,0,1,0,0,1,0,0,1,0,0,0,1,10.73775195
144,1,1,1,0,1,1,0,1,0,0,1,0,0,1,0,0,0,1,10.93090467
145,0,0,0,0,1,1,1,1,0,0,1,0,0,1,0,0,0,1,0.512931205
146,0,0,1,1,1,0,0,1,1,0,0,0,0,1,1,0,0,0,0.527278368
147,1,0,0,0,1,1,1,1,0,0,1,0,0,1,0,0,0,1,10.73662118
148,0,0,1,0,1,1,1,1,0,0,1,0,0,1,0,0,0,1,0.518000051
149,1,0,1,0,1,1,1,1,0,0,1,0,0,1,0,0,0,1,10.73738379
150,0,1,0,0,1,1,1,1,0,0,1,0,0,1,0,0,0,1,0.753693179
151,0,1,1,0,1,1,1,1,0,0,1,0,0,1,0,0,0,1,0.759619737
152,1,1,0,0,1,1,1,1,0,0,1,0,0,1,0,0,0,1,10.91765413
153,1,1,1,0,1,1,1,1,0,0,1,0,0,1,0,0,0,1,10.92284295
154,0,0,0,1,1,1,0,1,0,0,1,0,0,1,0,0,0,1,0.501553641
155,1,0,0,1,1,1,0,1,0,0,1,0,0,1,0,0,0,1,10.73467531
156,0,1,0,1,1,1,0,1,0,0,1,0,0,1,0,0,0,1,0.746494135
157,0,0,1,1,1,0,1,1,1,0,0,0,0,1,1,0,0,0,0.579977897
158,1,1,0,1,1,1,0,1,0,0,1,0,0,1,0,0,0,1,10.90408074
159,0,0,0,1,1,1,1,1,0,0,1,0,0,1,0,0,0,1,0.520934615
160,0,1,0,1,1,1,1,1,0,0,1,0,0,1,0,0,0,1,0.75767641
161,1,0,0,1,1,1,1,1,0,0,1,0,0,1,0,0,0,1,10.71357062
162,1,1,0,1,1,1,1,1,0,0,1,0,0,1,0,0,0,1,10.92321956
163,0,0,1,1,1,1,0,1,0,0,1,0,0,1,0,0,0,1,0.493411846
164,1,0,1,1,1,1,0,1,0,0,1,0,0,1,0,0,0,1,10.72132746
165,0,0,1,1,1,1,1,1,0,0,1,0,0,1,0,0,0,1,0.521399385
166,1,0,1,1,1,1,1,1,0,0,1,0,0,1,0,0,0,1,10.729516
167,0,1,1,1,1,1,0,1,0,0,1,0,0,1,0,0,0,1,0.749623897
168,1,0,1,1,1,0,0,1,1,0,0,0,0,1,1,0,0,0,3.232799051
169,0,1,1,1,1,1,1,1,0,0,1,0,0,1,0,0,0,1,0.753422184
170,1,1,1,1,1,1,0,1,0,0,1,0,0,1,0,0,0,1,10.911433
171,1,1,1,1,1,1,1,1,0,0,1,0,0,1,0,0,0,1,10.90747739
172,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0.482040053
173,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,10.75294845
174,0,1,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0.749533179
175,1,1,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,10.91721995
176,0,0,1,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0.499727368
177,0,1,1,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0.752133744
178,1,0,1,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,10.74956118
179,1,0,1,1,1,0,1,1,1,0,0,0,0,1,1,0,0,0,3.271027282
180,1,1,1,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,10.91687084
181,0,0,0,1,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0.513024263
182,1,0,0,1,0,0,0,1,0,0,1,0,0,1,1,0,0,0,10.72218679
183,0,0,1,1,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0.498736763
184,1,0,1,1,0,0,0,1,0,0,1,0,0,1,1,0,0,0,10.73939728
185,0,1,0,1,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0.754040923
186,0,1,1,1,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0.752175923
187,1,1,0,1,0,0,0,1,0,0,1,0,0,1,1,0,0,0,10.89609049
188,1,1,1,1,0,0,0,1,0,0,1,0,0,1,1,0,0,0,10.90256156
189,0,0,0,0,0,1,0,1,0,0,1,0,0,1,1,0,0,0,0.501874769
190,0,0,1,1,1,1,0,1,1,0,0,0,0,1,1,0,0,0,0.521600342
191,1,0,0,0,0,1,0,1,0,0,1,0,0,1,1,0,0,0,10.72518838
192,0,1,0,0,0,1,0,1,0,0,1,0,0,1,1,0,0,0,0.732406632
193,1,1,0,0,0,1,0,1,0,0,1,0,0,1,1,0,0,0,10.88968562
194,0,0,0,1,0,1,0,1,0,0,1,0,0,1,1,0,0,0,0.498927923
195,0,1,0,1,0,1,0,1,0,0,1,0,0,1,1,0,0,0,0.742831667
196,1,0,0,1,0,1,0,1,0,0,1,0,0,1,1,0,0,0,10.74104331
197,1,1,0,1,0,1,0,1,0,0,1,0,0,1,1,0,0,0,10.89773218
198,0,0,1,0,0,1,0,1,0,0,1,0,0,1,1,0,0,0,0.506829256
199,1,0,1,0,0,1,0,1,0,0,1,0,0,1,1,0,0,0,10.73048192
200,0,0,1,1,0,1,0,1,0,0,1,0,0,1,1,0,0,0,0.496938821
201,1,0,1,1,1,1,0,1,1,0,0,0,0,1,1,0,0,0,3.212456513
202,1,0,1,1,0,1,0,1,0,0,1,0,0,1,1,0,0,0,10.71889763
203,0,1,1,0,0,1,0,1,0,0,1,0,0,1,1,0,0,0,0.747610718
204,0,1,1,1,0,1,0,1,0,0,1,0,0,1,1,0,0,0,0.747630842
205,1,1,1,0,0,1,0,1,0,0,1,0,0,1,1,0,0,0,10.92263558
206,1,1,1,1,0,1,0,1,0,0,1,0,0,1,1,0,0,0,10.90660771
207,0,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,0.485087263
208,1,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,10.74310623
209,0,1,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,0.750367103
210,1,1,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,10.91928708
211,0,0,1,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,0.497007632
212,0,0,1,1,1,1,1,1,1,0,0,0,0,1,1,0,0,0,0.583330769
213,0,1,1,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,0.753075641
214,1,0,1,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,10.73007592
215,1,1,1,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,10.91302646
216,0,0,0,0,1,1,0,1,0,0,1,0,0,1,1,0,0,0,0.500549872
217,1,0,0,0,1,1,0,1,0,0,1,0,0,1,1,0,0,0,10.73576885
218,0,0,1,0,1,1,0,1,0,0,1,0,0,1,1,0,0,0,0.501923923
219,1,0,1,0,1,1,0,1,0,0,1,0,0,1,1,0,0,0,10.73449921
220,0,1,0,0,1,1,0,1,0,0,1,0,0,1,1,0,0,0,0.74442559
221,0,1,1,0,1,1,0,1,0,0,1,0,0,1,1,0,0,0,0.748962718
222,1,1,0,0,1,1,0,1,0,0,1,0,0,1,1,0,0,0,10.89816197
223,0,1,1,0,0,0,1,1,1,0,0,0,0,1,1,0,0,0,0.390812231
224,1,0,1,1,1,1,1,1,1,0,0,0,0,1,1,0,0,0,3.285266231
225,1,1,1,0,1,1,0,1,0,0,1,0,0,1,1,0,0,0,10.93388562
226,0,0,0,1,1,0,0,1,0,0,1,0,0,1,1,0,0,0,0.505856436
227,1,0,0,1,1,0,0,1,0,0,1,0,0,1,1,0,0,0,10.73222956
228,0,1,0,1,1,0,0,1,0,0,1,0,0,1,1,0,0,0,0.760084872
229,1,1,0,1,1,0,0,1,0,0,1,0,0,1,1,0,0,0,10.89938603
230,0,0,0,1,1,1,0,1,0,0,1,0,0,1,1,0,0,0,0.503539667
231,0,1,0,1,1,1,0,1,0,0,1,0,0,1,1,0,0,0,0.745916
232,1,0,0,1,1,1,0,1,0,0,1,0,0,1,1,0,0,0,10.73052954
233,1,1,0,1,1,1,0,1,0,0,1,0,0,1,1,0,0,0,10.90354872
234,0,0,1,1,1,0,0,1,0,0,1,0,0,1,1,0,0,0,0.498735395
235,0,1,1,1,1,0,0,1,1,0,0,0,0,1,1,0,0,0,0.362926205
236,1,0,1,1,1,0,0,1,0,0,1,0,0,1,1,0,0,0,10.73134482
237,0,0,1,1,1,1,0,1,0,0,1,0,0,1,1,0,0,0,0.494166077
238,1,0,1,1,1,1,0,1,0,0,1,0,0,1,1,0,0,0,10.72144677
239,0,1,1,1,1,0,0,1,0,0,1,0,0,1,1,0,0,0,0.749269077
240,0,1,1,1,1,1,0,1,0,0,1,0,0,1,1,0,0,0,0.751130744
241,1,1,1,1,1,0,0,1,0,0,1,0,0,1,1,0,0,0,10.91825516
242,1,1,1,1,1,1,0,1,0,0,1,0,0,1,1,0,0,0,10.91842049
243,0,0,0,0,0,0,1,1,0,0,1,0,0,1,1,0,0,0,0.506797
244,1,0,0,0,0,0,1,1,0,0,1,0,0,1,1,0,0,0,10.73302487
245,0,1,0,0,0,0,1,1,0,0,1,0,0,1,1,0,0,0,0.773078231
246,0,1,1,1,1,0,1,1,1,0,0,0,0,1,1,0,0,0,0.385507128
247,1,1,0,0,0,0,1,1,0,0,1,0,0,1,1,0,0,0,10.93758497
248,0,0,1,0,0,0,1,1,0,0,1,0,0,1,1,0,0,0,0.510030538
249,0,1,1,0,0,0,1,1,0,0,1,0,0,1,1,0,0,0,0.774185282
250,1,0,1,0,0,0,1,1,0,0,1,0,0,1,1,0,0,0,10.73383923
251,1,1,1,0,0,0,1,1,0,0,1,0,0,1,1,0,0,0,10.91078935
252,0,0,0,1,0,0,1,1,0,0,1,0,0,1,1,0,0,0,0.520637447
253,1,0,0,1,0,0,1,1,0,0,1,0,0,1,1,0,0,0,10.72372408
254,0,0,1,1,0,0,1,1,0,0,1,0,0,1,1,0,0,0,0.515265184
255,1,0,1,1,0,0,1,1,0,0,1,0,0,1,1,0,0,0,10.72662653
256,0,1,0,1,0,0,1,1,0,0,1,0,0,1,1,0,0,0,0.774959179
257,0,1,1,1,1,1,0,1,1,0,0,0,0,1,1,0,0,0,0.373442538
258,0,1,1,1,0,0,1,1,0,0,1,0,0,1,1,0,0,0,0.776731538
259,1,1,0,1,0,0,1,1,0,0,1,0,0,1,1,0,0,0,10.9580576
260,1,1,1,1,0,0,1,1,0,0,1,0,0,1,1,0,0,0,10.93680792
261,0,0,0,0,1,0,1,1,0,0,1,0,0,1,1,0,0,0,0.506535789
262,1,0,0,0,1,0,1,1,0,0,1,0,0,1,1,0,0,0,10.71307279
263,0,1,0,0,1,0,1,1,0,0,1,0,0,1,1,0,0,0,0.776654432
264,1,1,0,0,1,0,1,1,0,0,1,0,0,1,1,0,0,0,10.92307914
265,0,0,0,1,1,0,1,1,0,0,1,0,0,1,1,0,0,0,0.514011079
266,0,1,0,1,1,0,1,1,0,0,1,0,0,1,1,0,0,0,0.773951737
267,1,0,0,1,1,0,1,1,0,0,1,0,0,1,1,0,0,0,10.71813597
268,0,1,1,1,1,1,1,1,1,0,0,0,0,1,1,0,0,0,0.401878026
269,1,1,0,1,1,0,1,1,0,0,1,0,0,1,1,0,0,0,10.93730717
270,0,0,1,0,1,0,1,1,0,0,1,0,0,1,1,0,0,0,0.512260359
271,1,0,1,0,1,0,1,1,0,0,1,0,0,1,1,0,0,0,10.73227936
272,0,0,1,1,1,0,1,1,0,0,1,0,0,1,1,0,0,0,0.519947308
273,1,0,1,1,1,0,1,1,0,0,1,0,0,1,1,0,0,0,10.71331531
274,0,1,1,0,1,0,1,1,0,0,1,0,0,1,1,0,0,0,0.782150718
275,0,1,1,1,1,0,1,1,0,0,1,0,0,1,1,0,0,0,0.776519846
276,1,1,1,0,1,0,1,1,0,0,1,0,0,1,1,0,0,0,10.93798633
277,1,1,1,1,1,0,1,1,0,0,1,0,0,1,1,0,0,0,10.90887168
278,0,0,0,0,0,1,1,1,0,0,1,0,0,1,1,0,0,0,0.511390282
279,1,1,1,1,1,0,0,1,1,0,0,0,0,1,1,0,0,0,2.03072559
280,1,0,0,0,0,1,1,1,0,0,1,0,0,1,1,0,0,0,10.70031926
281,0,1,0,0,0,1,1,1,0,0,1,0,0,1,1,0,0,0,0.752171359
282,1,1,0,0,0,1,1,1,0,0,1,0,0,1,1,0,0,0,10.89621785
283,0,0,1,0,0,1,1,1,0,0,1,0,0,1,1,0,0,0,0.518244974
284,0,1,1,0,0,1,1,1,0,0,1,0,0,1,1,0,0,0,0.765242385
285,1,0,1,0,0,1,1,1,0,0,1,0,0,1,1,0,0,0,10.70652703
286,1,1,1,0,0,1,1,1,0,0,1,0,0,1,1,0,0,0,10.91147454
287,0,0,0,0,1,1,1,1,0,0,1,0,0,1,1,0,0,0,0.513113641
288,1,0,0,0,1,1,1,1,0,0,1,0,0,1,1,0,0,0,10.73574549
289,0,0,1,0,1,1,1,1,0,0,1,0,0,1,1,0,0,0,0.516918846
290,1,1,1,1,1,1,0,1,1,0,0,0,0,1,1,0,0,0,2.041645103
291,1,0,1,0,1,1,1,1,0,0,1,0,0,1,1,0,0,0,10.73250715
292,0,1,0,0,1,1,1,1,0,0,1,0,0,1,1,0,0,0,0.751894184
293,0,1,1,0,1,1,1,1,0,0,1,0,0,1,1,0,0,0,0.754568615
294,1,1,0,0,1,1,1,1,0,0,1,0,0,1,1,0,0,0,10.91237077
295,1,1,1,0,1,1,1,1,0,0,1,0,0,1,1,0,0,0,10.91980451
296,0,0,0,1,0,1,1,1,0,0,1,0,0,1,1,0,0,0,0.520639947
297,1,0,0,1,0,1,1,1,0,0,1,0,0,1,1,0,0,0,10.6980869
298,0,1,0,1,0,1,1,1,0,0,1,0,0,1,1,0,0,0,0.754889385
299,1,1,0,1,0,1,1,1,0,0,1,0,0,1,1,0,0,0,10.93873608
300,0,0,0,1,1,1,1,1,0,0,1,0,0,1,1,0,0,0,0.523184026
301,1,1,1,1,1,0,1,1,1,0,0,0,0,1,1,0,0,0,2.060584103
302,0,1,0,1,1,1,1,1,0,0,1,0,0,1,1,0,0,0,0.756590103
303,1,0,0,1,1,1,1,1,0,0,1,0,0,1,1,0,0,0,10.74009149
304,1,1,0,1,1,1,1,1,0,0,1,0,0,1,1,0,0,0,10.96258695
305,0,0,1,1,0,1,1,1,0,0,1,0,0,1,1,0,0,0,0.523466026
306,1,0,1,1,0,1,1,1,0,0,1,0,0,1,1,0,0,0,10.77014097
307,0,0,1,1,1,1,1,1,0,0,1,0,0,1,1,0,0,0,0.520984359
308,1,0,1,1,1,1,1,1,0,0,1,0,0,1,1,0,0,0,10.74816197
309,0,1,1,1,0,1,1,1,0,0,1,0,0,1,1,0,0,0,0.754704487
